Year,Surgeon ID,Surgeon Name,Statewide All CABG Cases,Statewide Isolated CABG Cases,Statewide Isolated CABG Deaths,Statewide Observed Mortality Rate(%), Surgeon Total CABG Cases, Surgeon Total Isolated CABG Cases, Surgeon Total Isolated CABG Deaths,Overall Surgeon Operative Mortality  Risk Adjusted Rate (%),Overall Surgeon LCL,Overall Surgeon UCL,Overall Performance Rating,All CABG Cases per Hospital,Isolated CABG Cases per Hospital,Isolated CABG Deaths per Hospital,Observed Mortality Rate(%) per Hospital,Expected Mortality Rate(%) per Hospital,Risk-Adjusted Mortality Rate(%) per Hospital,Lower 95%CI per Hospital,Upper 95%CI per Hospital,  Performance Rating per Hospital,County,Hospital,OSHPD ID,Longitude,Latitude 
2017-2018,G74293,"Mohammadzadeh, Gholam R","32,297","25,838",603,2.33,164,128,3,1.41,0.29,4.13,Average,1,1,1,100,0.99,100,6,100,Worse,Ventura,St. John's Regional Medical Center,106560529,-119.16,34.22
2017-2018,G74293,"Mohammadzadeh, Gholam R","32,297","25,838",603,2.33,164,128,3,1.41,0.29,4.13,Average,54,45,2,4.44,2.33,4.45,0.54,16.09,Average,Los Angeles,West Hills Hospital and Medical Center,106190859,-118.63,34.2
2017-2018,A85344,"Montero, Erick L","32,297","25,838",603,2.33,81,72,5,4.82,1.56,11.25,Average,2,1,0,0,0.55,0,0,100,Average,Orange,Memorialcare Orange Coast Medical Center,106300225,-117.96,33.7
2017-2018,A85344,"Montero, Erick L","32,297","25,838",603,2.33,81,72,5,4.82,1.56,11.25,Average,79,71,5,7.04,3.4,4.83,1.57,11.27,Average,Orange,Memorialcare Saddleback Medical Center,106301317,-117.71,33.61
2017-2018,G60913,"Moon, James F","32,297","25,838",603,2.33,14,13,0,0,0,18.74,Average,14,13,0,0,3.53,0,0,18.74,Average,Butte,Enloe Medical Center - Esplanade,106040962,-121.85,39.74
2017-2018,A30738,"Morenocabral, Ricardo J","32,297","25,838",603,2.33,70,56,3,4.29,0.88,12.53,Average,28,22,1,4.55,2.51,4.23,0.11,23.55,Average,San Diego,Grossmont Hospital,106370714,-117.01,32.78
2017-2018,A30738,"Morenocabral, Ricardo J","32,297","25,838",603,2.33,70,56,3,4.29,0.88,12.53,Average,7,6,1,16.67,3.32,11.7,0.3,65.21,Average,San Diego,Scripps Mercy Hospital,106370744,-117.16,32.75
2017-2018,A30738,"Morenocabral, Ricardo J","32,297","25,838",603,2.33,70,56,3,4.29,0.88,12.53,Average,35,28,1,3.57,3.15,2.65,0.07,14.76,Average,San Diego,Sharp Chula Vista Medical Center,106370875,-117.02,32.62
2017-2018,G68918,"Morris, Allen S","32,297","25,838",603,2.33,187,97,1,1.2,0.03,6.69,Average,183,93,1,1.08,1.98,1.27,0.03,7.06,Average,Sacramento,Mercy General Hospital,106340947,-121.45,38.57
2017-2018,G68918,"Morris, Allen S","32,297","25,838",603,2.33,187,97,1,1.2,0.03,6.69,Average,4,4,0,0,2.52,0,0,85.46,Average,Sacramento,Mercy San Juan Hospital,106340950,-121.31,38.67
2017-2018,G23097,"Morrissey, James D","32,297","25,838",603,2.33,290,254,6,1.35,0.5,2.95,Average,28,26,2,7.69,2.3,7.8,0.94,28.17,Average,San Joaquin,Dameron Hospital,106390846,-121.3,37.96
2017-2018,G23097,"Morrissey, James D","32,297","25,838",603,2.33,290,254,6,1.35,0.5,2.95,Average,262,228,4,1.75,4.27,0.96,0.26,2.45,Average,San Joaquin,St. Joseph's Medical Center of Stockton,106391042,-121.29,37.97
2017-2018,G75287,"Mudge, Devin R","32,297","25,838",603,2.33,307,239,4,1.36,0.37,3.47,Average,307,239,4,1.67,2.88,1.36,0.37,3.47,Average,San Bernardino,Kaiser Foundation Hospital - Fontana,106361223,-117.44,34.07
2017-2018,A115758,"Mumtaz, Seemal","32,297","25,838",603,2.33,131,118,2,1.32,0.16,4.75,Average,65,59,1,1.69,3.51,1.13,0.03,6.27,Average,San Diego,Grossmont Hospital,106370714,-117.01,32.78
2017-2018,A115758,"Mumtaz, Seemal","32,297","25,838",603,2.33,131,118,2,1.32,0.16,4.75,Average,1,1,0,0,8.62,0,0,99.83,Average,San Diego,Palomar Health Downtown Campus,106370755,-117.08,33.13
2017-2018,A115758,"Mumtaz, Seemal","32,297","25,838",603,2.33,131,118,2,1.32,0.16,4.75,Average,65,58,1,1.72,2.39,1.68,0.04,9.37,Average,San Diego,Sharp Chula Vista Medical Center,106370875,-117.02,32.62
2017-2018,A155030,"Noble, Stephen L","32,297","25,838",603,2.33,7,7,0,0,0,100,Average,7,7,0,0,1.07,0,0,100,Average,Stanislaus,Memorial Medical Center - Modesto,106500939,-120.98,37.67
2017-2018,C41229,"Nucho, Ramsay C","32,297","25,838",603,2.33,116,102,2,1.54,0.19,5.56,Average,10,7,0,0,2.97,0,0,41.36,Average,Los Angeles,Adventist Health Glendale,106190323,-118.23,34.15
2017-2018,C41229,"Nucho, Ramsay C","32,297","25,838",603,2.33,116,102,2,1.54,0.19,5.56,Average,106,95,2,2.11,2.97,1.65,0.2,5.97,Average,Los Angeles,Adventist Health White Memorial,106190878,-118.22,34.05
2017-2018,A115697,"Odeh, Yousef M","32,297","25,838",603,2.33,46,37,3,4.11,0.85,12,Average,46,37,3,8.11,4.61,4.11,0.85,12,Average,Ventura,St. John's Regional Medical Center,106560529,-119.16,34.22
2017-2018,C53426,"Ogden, William D","32,297","25,838",603,2.33,25,20,0,0,0,22.24,Average,25,20,0,0,1.94,0,0,22.24,Average,Santa Clara,Santa Clara Valley Medical Center,106430883,-121.93,37.31
2017-2018,A101162,"Oka, Tomomi","32,297","25,838",603,2.33,149,124,2,2.19,0.26,7.89,Average,1,1,0,0,2.87,0,0,100,Average,Santa Cruz,Dominican Hospital,106440755,-121.98,36.99
2017-2018,A101162,"Oka, Tomomi","32,297","25,838",603,2.33,149,124,2,2.19,0.26,7.89,Average,42,34,1,2.94,1.48,4.65,0.12,25.89,Average,Santa Clara,El Camino Hospital,106430763,-122.08,37.37
2017-2018,A101162,"Oka, Tomomi","32,297","25,838",603,2.33,149,124,2,2.19,0.26,7.89,Average,106,89,1,1.12,1.8,1.45,0.04,8.1,Average,San Mateo,Mills-Peninsula Medical Center,106410852,-122.38,37.59
2017-2018,A43287,"Omari, Bassam O","32,297","25,838",603,2.33,143,137,2,1.94,0.23,6.99,Average,1,1,0,0,0.77,0,0,100,Average,San Bernardino,Desert Valley Hospital,106364144,-117.3,34.47
2017-2018,A43287,"Omari, Bassam O","32,297","25,838",603,2.33,143,137,2,1.94,0.23,6.99,Average,77,74,2,2.7,1.65,3.82,0.46,13.81,Average,Los Angeles,Los Angeles County/Harbor - UCLA Medical Center,106191227,-118.29,33.83
2017-2018,A43287,"Omari, Bassam O","32,297","25,838",603,2.33,143,137,2,1.94,0.23,6.99,Average,59,56,0,0,1.81,0,0,8.48,Average,Los Angeles,St. Francis Medical Center,106190754,-118.2,33.93
2017-2018,A43287,"Omari, Bassam O","32,297","25,838",603,2.33,143,137,2,1.94,0.23,6.99,Average,3,3,0,0,4.44,0,0,64.68,Average,San Bernardino,St. Mary Medical Center - Apple Valley,106361343,-117.27,34.54
2017-2018,A43287,"Omari, Bassam O","32,297","25,838",603,2.33,143,137,2,1.94,0.23,6.99,Average,2,2,0,0,1.15,0,0,100,Average,Los Angeles,St. Mary Medical Center - Long Beach,106190053,-118.19,33.78
2017-2018,A43287,"Omari, Bassam O","32,297","25,838",603,2.33,143,137,2,1.94,0.23,6.99,Average,1,1,0,0,1.2,0,0,100,Average,Los Angeles,Torrance Memorial Medical Center,106190422,-118.34,33.81
2017-2018,A96487,"Osman, Ashraf I","32,297","25,838",603,2.33,3,3,0,0,0,84.78,Average,3,3,0,0,3.38,0,0,84.78,Average,Shasta,Mercy Medical Center - Redding,106450949,-122.4,40.57
2017-2018,G45864,"Ott, Richard A","32,297","25,838",603,2.33,356,281,4,1.53,0.42,3.91,Average,199,154,4,2.6,1.8,3.36,0.92,8.61,Average,Orange,AHMC Anaheim Regional Medical Center,106301098,-117.93,33.85
2017-2018,G45864,"Ott, Richard A","32,297","25,838",603,2.33,356,281,4,1.53,0.42,3.91,Average,78,61,0,0,2.73,0,0,5.17,Average,Orange,Anaheim Global Medical Center,106301188,-117.91,33.82
2017-2018,G45864,"Ott, Richard A","32,297","25,838",603,2.33,356,281,4,1.53,0.42,3.91,Average,79,66,0,0,2.52,0,0,5.17,Average,Orange,Orange County Global Medical Center,106301566,-117.83,33.75
2017-2018,C38023,"Overton, John B","32,297","25,838",603,2.33,8,8,0,0,0,25.42,Average,8,8,0,0,4.23,0,0,25.42,Average,San Joaquin,Dameron Hospital,106390846,-121.3,37.96
2017-2018,G33498,"Palafox, Brian A","32,297","25,838",603,2.33,204,161,7,4.23,1.7,8.72,Average,202,159,5,3.14,2.13,3.44,1.12,8.04,Average,Orange,St. Joseph Hospital - Orange,106301340,-117.87,33.78
2017-2018,G33498,"Palafox, Brian A","32,297","25,838",603,2.33,204,161,7,4.23,1.7,8.72,Average,2,2,2,100,23.59,9.89,1.2,35.74,Average,Orange,UC Irvine Medical Center,106301279,-117.89,33.79
2017-2018,C55426,"Pamula, Ramesh B","32,297","25,838",603,2.33,11,11,2,11.66,1.41,42.12,Average,5,5,1,20,5.42,8.61,0.22,47.96,Average,Fresno,Community Regional Medical Center - Fresno,106100717,-119.78,36.74
2017-2018,C55426,"Pamula, Ramesh B","32,297","25,838",603,2.33,11,11,2,11.66,1.41,42.12,Average,2,2,0,0,1.08,0,0,100,Average,Fresno,Fresno Heart and Surgical Hospital,106105029,-119.79,36.86
2017-2018,C55426,"Pamula, Ramesh B","32,297","25,838",603,2.33,11,11,2,11.66,1.41,42.12,Average,4,4,1,25,2.69,21.68,0.55,100,Average,Fresno,Saint Agnes Medical Center,106100899,-119.76,36.84
2017-2018,G73503,"Panagiotides, George P","32,297","25,838",603,2.33,253,240,6,2.24,0.82,4.89,Average,91,86,0,0,2.58,0,0,3.89,Average,Los Angeles,Lakewood Regional Medical Center,106190240,-118.15,33.86
2017-2018,G73503,"Panagiotides, George P","32,297","25,838",603,2.33,253,240,6,2.24,0.82,4.89,Average,52,49,2,4.08,2.17,4.39,0.53,15.86,Average,Los Angeles,Memorialcare Long Beach Medical Center,106190525,-118.19,33.81
2017-2018,G73503,"Panagiotides, George P","32,297","25,838",603,2.33,253,240,6,2.24,0.82,4.89,Average,4,4,1,25,3.84,15.21,0.38,84.72,Average,Orange,Orange County Global Medical Center,106301566,-117.83,33.75
2017-2018,G73503,"Panagiotides, George P","32,297","25,838",603,2.33,253,240,6,2.24,0.82,4.89,Average,35,34,1,2.94,2.73,2.51,0.06,14.01,Average,Los Angeles,PIH Health Hospital - Downey,106190243,-118.13,33.94
2017-2018,G73503,"Panagiotides, George P","32,297","25,838",603,2.33,253,240,6,2.24,0.82,4.89,Average,5,5,0,0,3.25,0,0,52.94,Average,Los Angeles,PIH Health Hospital - Whittier,106190631,-118.05,33.97
2017-2018,G73503,"Panagiotides, George P","32,297","25,838",603,2.33,253,240,6,2.24,0.82,4.89,Average,66,62,2,3.23,2.77,2.72,0.33,9.83,Average,Los Angeles,St. Mary Medical Center - Long Beach,106190053,-118.19,33.78
2017-2018,G68451,"Paw, Patrick T","32,297","25,838",603,2.33,64,60,3,6.31,1.3,18.43,Average,33,31,1,3.23,2.1,3.59,0.09,19.98,Average,Kern,Adventist Health Bakersfield,106150788,-119.02,35.38
2017-2018,G68451,"Paw, Patrick T","32,297","25,838",603,2.33,64,60,3,6.31,1.3,18.43,Average,1,1,0,0,2.17,0,0,100,Average,Kern,Bakersfield Heart Hospital,106154101,-119.04,35.39
2017-2018,G68451,"Paw, Patrick T","32,297","25,838",603,2.33,64,60,3,6.31,1.3,18.43,Average,30,28,2,7.14,1.56,10.66,1.29,38.51,Average,Kern,Bakersfield Memorial Hospital,106150722,-119.01,35.39
2017-2018,A91071,"Peck, Eric A","32,297","25,838",603,2.33,134,114,1,1.13,0.03,6.3,Average,53,48,0,0,2.28,0,0,7.86,Average,Kern,Adventist Health Bakersfield,106150788,-119.02,35.38
2017-2018,A91071,"Peck, Eric A","32,297","25,838",603,2.33,134,114,1,1.13,0.03,6.3,Average,1,1,0,0,1.65,0,0,100,Average,Kern,Bakersfield Heart Hospital,106154101,-119.04,35.39
2017-2018,A91071,"Peck, Eric A","32,297","25,838",603,2.33,134,114,1,1.13,0.03,6.3,Average,80,65,1,1.54,1.47,2.45,0.06,13.64,Average,Kern,Bakersfield Memorial Hospital,106150722,-119.01,35.39
2017-2018,A82121,"Perch, Paul G","32,297","25,838",603,2.33,237,202,1,0.67,0.02,3.71,Average,237,202,1,0.5,1.74,0.67,0.02,3.71,Average,Los Angeles,Kaiser Foundation Hospital - Los Angeles,106190429,-118.3,34.1
2017-2018,C38668,"Perkowski, David J","32,297","25,838",603,2.33,30,28,1,4.62,0.12,25.73,Average,30,28,1,3.57,1.8,4.62,0.12,25.73,Average,Orange,Memorialcare Saddleback Medical Center,106301317,-117.71,33.61
2017-2018,A124165,"Perry, Paul A","32,297","25,838",603,2.33,82,69,2,2.89,0.35,10.45,Average,82,69,2,2.9,2.34,2.89,0.35,10.45,Average,Sacramento,UC Davis Medical Center,106341006,-121.46,38.55
2017-2018,G74861,"Petrik, Pavel V","32,297","25,838",603,2.33,1,1,0,0,0,100,Average,1,1,0,0,0.67,0,0,100,Average,Los Angeles,Antelope Valley Hospital,106190034,-118.16,34.69
2017-2018,G46917,"Pfeffer, Thomas A","32,297","25,838",603,2.33,313,250,7,3.07,1.24,6.33,Average,313,250,7,2.8,2.13,3.07,1.24,6.33,Average,Los Angeles,Kaiser Foundation Hospital - Los Angeles,106190429,-118.3,34.1
2017-2018,G88363,"Phillips, Robert A","32,297","25,838",603,2.33,32,28,0,0,0,10.1,Average,16,14,0,0,1.56,0,0,39.35,Average,Los Angeles,Memorialcare Long Beach Medical Center,106190525,-118.19,33.81
2017-2018,G88363,"Phillips, Robert A","32,297","25,838",603,2.33,32,28,0,0,0,10.1,Average,16,14,0,0,4.53,0,0,13.59,Average,Orange,Memorialcare Orange Coast Medical Center,106300225,-117.96,33.7
2017-2018,G76922,"Poa, Li","32,297","25,838",603,2.33,221,186,8,3,1.29,5.91,Average,221,186,8,4.3,3.35,3,1.29,5.91,Average,Los Angeles,Providence Little Company of Mary Medical Center - Torrance,106190470,-118.36,33.84
2017-2018,20A12742,"Pollema, Travis L","32,297","25,838",603,2.33,122,113,2,1.82,0.22,6.56,Average,122,113,2,1.77,2.27,1.82,0.22,6.56,Average,San Diego,UCSD Health La Jolla - Jacobs Medical Center & Sulpizio Cardiovascular Center,106374141,-117.23,32.88
2017-2018,A43527,"Pompili, Mario F","32,297","25,838",603,2.33,231,163,5,3.31,1.07,7.72,Average,231,163,5,3.07,2.17,3.31,1.07,7.72,Average,Santa Clara,Kaiser Foundation Hospital - Santa Clara,106434153,-122,37.33
2017-2018,C42262,"Postel, Joachim M","32,297","25,838",603,2.33,32,24,1,5.97,0.15,33.29,Average,32,24,1,4.17,1.63,5.97,0.15,33.29,Average,Humboldt,St. Joseph Hospital - Eureka,106121080,-124.14,40.78
2017-2018,G51597,"Pottmeyer, Edward W","32,297","25,838",603,2.33,55,42,1,1.05,0.03,5.82,Average,54,41,1,2.44,5.42,1.05,0.03,5.85,Average,Santa Clara,Good Samaritan Hospital - San Jose,106430779,-121.94,37.25
2017-2018,G51597,"Pottmeyer, Edward W","32,297","25,838",603,2.33,55,42,1,1.05,0.03,5.82,Average,1,1,0,0,0.92,0,0,100,Average,Shasta,Shasta Regional Medical Center,106450940,-122.39,40.59
2017-2018,A108384,"Powers, Matthew E","32,297","25,838",603,2.33,149,117,2,1.85,0.22,6.7,Average,149,117,2,1.71,2.15,1.85,0.22,6.7,Average,Riverside,Eisenhower Medical Center,106331168,-116.41,33.76
2017-2018,A113774,"Pretorius, Gertdiederick V","32,297","25,838",603,2.33,103,61,1,1.09,0.03,6.09,Average,103,61,1,1.64,3.5,1.09,0.03,6.09,Average,San Diego,UCSD Health La Jolla - Jacobs Medical Center & Sulpizio Cardiovascular Center,106374141,-117.23,32.88
2017-2018,20A14720,"Pribyl, Shea M","32,297","25,838",603,2.33,27,22,1,2.99,0.08,16.67,Average,21,17,1,5.88,4.08,3.36,0.09,18.74,Average,Solano,North Bay Medical Center,106481357,-122.05,38.26
2017-2018,20A14720,"Pribyl, Shea M","32,297","25,838",603,2.33,27,22,1,2.99,0.08,16.67,Average,6,5,0,0,1.73,0,0,99.52,Average,Napa,Queen of the Valley Medical Center,106281047,-122.3,38.32
2017-2018,A48591,"Puig-Palomar, Miguel","32,297","25,838",603,2.33,309,269,6,2.49,0.91,5.41,Average,309,269,6,2.23,2.09,2.49,0.91,5.41,Average,Butte,Enloe Medical Center - Esplanade,106040962,-121.85,39.74
2017-2018,A39435,"Purewal, Sarabjit S","32,297","25,838",603,2.33,320,281,8,3.26,1.41,6.42,Average,66,60,2,3.33,2.01,3.87,0.47,13.99,Average,Kern,Adventist Health Bakersfield,106150788,-119.02,35.38
2017-2018,A39435,"Purewal, Sarabjit S","32,297","25,838",603,2.33,320,281,8,3.26,1.41,6.42,Average,162,142,2,1.41,1.92,1.71,0.21,6.17,Average,Kern,Bakersfield Heart Hospital,106154101,-119.04,35.39
2017-2018,A39435,"Purewal, Sarabjit S","32,297","25,838",603,2.33,320,281,8,3.26,1.41,6.42,Average,92,79,4,5.06,2.27,5.21,1.42,13.34,Average,Kern,Bakersfield Memorial Hospital,106150722,-119.01,35.39
2017-2018,A104603,"Rabkin, David G","32,297","25,838",603,2.33,156,139,3,2.03,0.42,5.93,Average,140,124,3,2.42,2.62,2.15,0.44,6.3,Average,San Bernardino,Loma Linda University Medical Center,106361246,-117.26,34.05
2017-2018,A104603,"Rabkin, David G","32,297","25,838",603,2.33,156,139,3,2.03,0.42,5.93,Average,16,15,0,6.25,1.89,0,0,44.5,Average,Riverside,Loma Linda University Medical Center - Murrieta,106334589,-117.16,33.61
2017-2018,A117478,"Ramzy, Danny","32,297","25,838",603,2.33,103,85,0,0,0,7.75,Average,103,85,0,0,1.31,0,0,7.75,Average,Los Angeles,Cedars Sinai Medical Center,106190555,-118.38,34.08
2017-2018,G86803,"Randhawa, Mohinder P","32,297","25,838",603,2.33,45,43,3,4.36,0.9,12.75,Average,45,43,3,6.98,3.73,4.36,0.9,12.75,Average,Shasta,Mercy Medical Center - Redding,106450949,-122.4,40.57
2017-2018,G27564,"Raney, Aidan A","32,297","25,838",603,2.33,66,25,1,4.85,0.12,27,Average,66,25,1,4,1.93,4.85,0.12,27,Average,Orange,Hoag Memorial Hospital Presbyterian,106301205,-117.93,33.63
2017-2018,G50813,"Razzouk, Anees J","32,297","25,838",603,2.33,137,96,0,0,0,3.47,Average,137,96,0,0,2.58,0,0,3.47,Average,San Bernardino,Loma Linda University Medical Center,106361246,-117.26,34.05
2017-2018,A62822,"Reemtsen, Brian L","32,297","25,838",603,2.33,7,6,0,0,0,48.81,Average,7,6,0,0,2.94,0,0,48.81,Average,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,-118.45,34.07
2017-2018,A60385,"Roberts, Randall F","32,297","25,838",603,2.33,174,154,2,1.4,0.17,5.06,Average,43,33,0,0,2.77,0,0,9.42,Average,Los Angeles,Adventist Health Glendale,106190323,-118.23,34.15
2017-2018,A60385,"Roberts, Randall F","32,297","25,838",603,2.33,174,154,2,1.4,0.17,5.06,Average,40,38,1,2.63,2.93,2.1,0.05,11.68,Average,Los Angeles,California Hospital Medical Center - Los Angeles,106190125,-118.27,34.04
2017-2018,A60385,"Roberts, Randall F","32,297","25,838",603,2.33,174,154,2,1.4,0.17,5.06,Average,9,7,1,14.29,1.47,22.7,0.57,100,Average,Los Angeles,Garfield Medical Center,106190315,-118.12,34.07
2017-2018,A60385,"Roberts, Randall F","32,297","25,838",603,2.33,174,154,2,1.4,0.17,5.06,Average,82,76,0,0,1.58,0,0,7.18,Average,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,-118.26,34.13
2017-2018,G38174,"Robertson, John M","32,297","25,838",603,2.33,57,42,0,0,0,11.09,Average,57,42,0,0,1.85,0,0,11.09,Average,Los Angeles,Providence St. John's Health Center,106190756,-118.48,34.03
2017-2018,A65512,"Rodriguez, Victor M","32,297","25,838",603,2.33,36,23,0,0,0,21.51,Average,36,23,0,0,1.74,0,0,21.51,Average,Sacramento,UC Davis Medical Center,106341006,-121.46,38.55
2017-2018,A56098,"Sakopoulos, Andreas G","32,297","25,838",603,2.33,121,95,2,2.1,0.25,7.6,Average,121,95,2,2.11,2.34,2.1,0.25,7.6,Average,Napa,Adventist Health St. Helena,106281078,-122.47,38.54
2017-2018,A50050,"Salem, Fakhri M","32,297","25,838",603,2.33,83,75,5,6.17,2,14.41,Average,3,3,0,0,2.17,0,0,100,Average,San Diego,Grossmont Hospital,106370714,-117.01,32.78
2017-2018,A50050,"Salem, Fakhri M","32,297","25,838",603,2.33,83,75,5,6.17,2,14.41,Average,80,72,5,6.94,2.53,6.39,2.08,14.92,Average,San Diego,Scripps Mercy Hospital,106370744,-117.16,32.75
2017-2018,G48808,"Schwartz, Steven M","32,297","25,838",603,2.33,42,38,1,3.08,0.08,17.19,Average,41,37,1,2.7,1.96,3.21,0.08,17.91,Average,Santa Clara,Good Samaritan Hospital - San Jose,106430779,-121.94,37.25
2017-2018,G48808,"Schwartz, Steven M","32,297","25,838",603,2.33,42,38,1,3.08,0.08,17.19,Average,1,1,0,0,3.05,0,0,100,Average,Santa Clara,O'Connor Hospital,106430837,-121.94,37.33
2017-2018,A126842,"Scoville, David H","32,297","25,838",603,2.33,85,77,1,2.2,0.06,12.23,Average,85,77,1,1.3,1.38,2.2,0.06,12.23,Average,Santa Clara,Kaiser Foundation Hospital - Santa Clara,106434153,-122,37.33
2017-2018,A63868,"Serna, Daniel L","32,297","25,838",603,2.33,295,239,3,1.45,0.3,4.23,Average,295,239,3,1.26,2.03,1.45,0.3,4.23,Average,San Bernardino,Kaiser Foundation Hospital - Fontana,106361223,-117.44,34.07
2017-2018,A99225,"Setty, Shaun P","32,297","25,838",603,2.33,1,.,.,.,,,,1,.,.,.,.,.,.,.,,Los Angeles,Memorialcare Long Beach Medical Center,106190525,-118.19,33.81
2017-2018,A92930,"Shafi, Bilal M","32,297","25,838",603,2.33,224,138,4,3.36,0.92,8.61,Average,2,1,0,0,2.78,0,0,100,Average,Monterey,Community Hospital of the Monterey Peninsula,106270744,-121.92,36.6
2017-2018,A92930,"Shafi, Bilal M","32,297","25,838",603,2.33,224,138,4,3.36,0.92,8.61,Average,199,122,3,2.46,2.03,2.83,0.58,8.28,Average,Santa Cruz,Dominican Hospital,106440755,-121.98,36.99
2017-2018,A92930,"Shafi, Bilal M","32,297","25,838",603,2.33,224,138,4,3.36,0.92,8.61,Average,22,15,1,6.67,1.84,8.45,0.21,47.09,Average,Santa Clara,Good Samaritan Hospital - San Jose,106430779,-121.94,37.25
2017-2018,A92930,"Shafi, Bilal M","32,297","25,838",603,2.33,224,138,4,3.36,0.92,8.61,Average,1,.,.,.,.,.,.,.,,San Mateo,Mills-Peninsula Medical Center,106410852,-122.38,37.59
2017-2018,G89155,"Shah, Aamir S","32,297","25,838",603,2.33,22,12,0,0,0,18.77,Average,17,8,0,0,4.18,0,0,25.73,Average,Los Angeles,Cedars Sinai Medical Center,106190555,-118.38,34.08
2017-2018,G89155,"Shah, Aamir S","32,297","25,838",603,2.33,22,12,0,0,0,18.77,Average,5,4,0,0,3.1,0,0,69.4,Average,Los Angeles,Torrance Memorial Medical Center,106190422,-118.34,33.81
2017-2018,A155805,"Shah, Asad A","32,297","25,838",603,2.33,45,38,0,0,0,18.95,Average,45,38,0,0,1.2,0,0,18.95,Average,Orange,Hoag Memorial Hospital Presbyterian,106301205,-117.93,33.63
2017-2018,C55244,"Shah, Sachin","32,297","25,838",603,2.33,2,2,0,0,0,75.13,Average,2,2,0,0,5.73,0,0,75.13,Average,Shasta,Mercy Medical Center - Redding,106450949,-122.4,40.57
2017-2018,A96442,"Sharma, Kapil","32,297","25,838",603,2.33,191,120,1,1,0.03,5.6,Average,181,114,1,0.88,1.88,1.09,0.03,6.08,Average,Sacramento,Mercy General Hospital,106340947,-121.45,38.57
2017-2018,A96442,"Sharma, Kapil","32,297","25,838",603,2.33,191,120,1,1,0.03,5.6,Average,10,6,0,0,3.04,0,0,47.13,Average,Sacramento,Mercy San Juan Hospital,106340950,-121.31,38.67
2017-2018,A113605,"Shayan, Hossein","32,297","25,838",603,2.33,80,70,0,0,0,4.74,Average,19,19,0,0,2.35,0,0,19.31,Average,Riverside,Riverside Community Hospital,106331312,-117.38,33.98
2017-2018,A113605,"Shayan, Hossein","32,297","25,838",603,2.33,80,70,0,0,0,4.74,Average,41,33,0,0,2.78,0,0,9.4,Average,San Bernardino,San Antonio Regional Hospital,106361318,-117.64,34.1
2017-2018,A113605,"Shayan, Hossein","32,297","25,838",603,2.33,80,70,0,0,0,4.74,Average,20,18,0,0,2.51,0,0,19.03,Average,San Bernardino,St. Mary Medical Center - Apple Valley,106361343,-117.27,34.54
2017-2018,A92408,"Sheikh, Ahmad Y","32,297","25,838",603,2.33,149,108,3,4.87,1,14.24,Average,149,108,3,2.78,1.33,4.87,1,14.24,Average,San Francisco,Kaiser Foundation Hospital - San Francisco,106380857,-122.44,37.78
2017-2018,G87949,"Shemin, Richard J","32,297","25,838",603,2.33,102,50,1,2.7,0.07,15.07,Average,102,50,1,2,1.73,2.7,0.07,15.07,Average,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,-118.45,34.07
2017-2018,A79567,"Sheridan, Brett C","32,297","25,838",603,2.33,20,18,1,10.61,0.27,59.11,Average,20,18,1,5.56,1.22,10.61,0.27,59.11,Average,San Francisco,California Pacific Medical Center - Pacific Campus,106380929,-122.43,37.79
2017-2018,G22148,"Shuman, Robert L","32,297","25,838",603,2.33,5,5,1,19.06,0.48,100,Average,5,5,1,20,2.45,19.06,0.48,100,Average,Los Angeles,Memorialcare Long Beach Medical Center,106190525,-118.19,33.81
2017-2018,G63084,"Silva, Raymond","32,297","25,838",603,2.33,12,10,2,25.74,3.12,92.99,Worse,12,10,2,20,1.81,25.74,3.12,92.99,Worse,Santa Clara,Good Samaritan Hospital - San Jose,106430779,-121.94,37.25
2017-2018,G50487,"Slachman, Frank N","32,297","25,838",603,2.33,164,117,0,0,0,3.56,Average,152,108,0,0,2.12,0,0,3.75,Average,Sacramento,Mercy General Hospital,106340947,-121.45,38.57
2017-2018,G50487,"Slachman, Frank N","32,297","25,838",603,2.33,164,117,0,0,0,3.56,Average,12,9,0,0,1.39,0,0,69.04,Average,Sacramento,Mercy San Juan Hospital,106340950,-121.31,38.67
2017-2018,C36737,"Smith, Larry H","32,297","25,838",603,2.33,1,1,0,0,0,100,Average,1,1,0,0,1.63,0,0,100,Average,Shasta,Mercy Medical Center - Redding,106450949,-122.4,40.57
2017-2018,G40042,"Soltero, Michael J","32,297","25,838",603,2.33,136,99,3,3.09,0.64,9.03,Average,49,35,0,0,2.2,0,0,11.16,Average,Los Angeles,Henry Mayo Newhall Hospital,106190949,-118.55,34.4
2017-2018,G40042,"Soltero, Michael J","32,297","25,838",603,2.33,136,99,3,3.09,0.64,9.03,Average,28,25,1,4,1.87,5,0.13,27.83,Average,Los Angeles,Northridge Hospital Medical Center,106190568,-118.53,34.22
2017-2018,G40042,"Soltero, Michael J","32,297","25,838",603,2.33,136,99,3,3.09,0.64,9.03,Average,48,32,1,3.13,2.72,2.68,0.07,14.94,Average,Los Angeles,Providence Holy Cross Medical Center,106190385,-118.46,34.28
